id,trips,avg_dist,avg_fare,revenue
132,7259929,15.37,57.21,541341104.0
237,6901410,1.8,12.22,134171789.0
161,6508541,2.41,15.43,154589442.0
236,6043446,1.97,12.66,120189908.0
162,5010090,2.36,14.85,115100990.0
186,4963636,2.36,15.87,117884661.0
230,4720954,3.15,17.86,126074864.0
138,4656779,9.6,40.6,291241117.0
142,4604289,2.2,13.35,96007561.0
170,4184382,2.34,14.66,94587250.0
163,4121110,2.47,15.25,96327570.0
239,3875851,2.21,13.19,79900433.0
234,3820262,2.09,13.72,82170977.0
48,3786447,2.56,14.68,84811785.0
68,3716705,2.53,16.06,89951452.0
141,3384875,2.01,12.42,66124398.0
79,3254887,2.47,14.1,70767793.0
164,3183188,2.45,15.04,73731980.0
249,3062791,2.31,14.14,67188177.0
107,2951096,2.24,13.57,62371027.0
140,2791859,2.41,14.23,60364974.0
238,2693105,2.26,13.18,54507623.0
263,2691935,2.24,12.69,53521883.0
229,2654369,2.12,13.26,54821653.0
43,2439687,2.23,14.27,52827729.0
246,2333665,2.4,15.36,54575996.0
90,2281322,2.19,13.79,49047159.0
100,2273791,2.49,15.5,53054472.0
113,1927410,2.15,13.9,41640786.0
114,1881790,2.36,14.37,41778617.0
231,1880673,3.14,17.32,47944176.0
262,1805845,2.42,13.6,37894367.0
233,1681366,2.69,15.45,39677644.0
137,1511609,2.36,13.67,31736121.0
143,1498057,2.17,12.9,30034329.0
148,1403856,2.98,16.27,34032737.0
144,1285521,2.57,15.69,30275791.0
158,1212343,2.67,15.95,29338200.0
75,1174111,2.5,14.12,23484716.0
151,1108962,2.39,13.63,22117772.0
211,1071880,2.54,15.62,25192711.0
264,921317,4.88,21.35,28199612.0
74,854725,2.48,14.28,16727055.0
50,853287,2.58,14.52,18697825.0
13,810335,4.4,21.56,25029188.0
166,762090,2.76,15.23,16374048.0
87,742662,4.45,21.5,22637942.0
261,711320,4.29,22.15,22046603.0
125,696772,2.68,15.59,16455278.0
70,574943,9.43,39.55,34170271.0
41,453813,2.54,14.07,8518724.0
88,386686,4.75,22.93,12314162.0
24,373800,2.59,14.4,7746303.0
209,253902,4.18,20.63,7433928.0
45,188906,3.54,19.48,5175893.0
42,179871,3.19,16.53,3593351.0
224,157764,2.52,14.36,3416351.0
4,148822,2.82,15.61,3452060.0
65,148768,4.09,21.14,4054475.0
232,148149,3.55,19.04,3938419.0
244,147356,4.89,22.34,4169781.0
95,143864,3.28,17.9,3198287.0
97,130084,3.2,18.3,3023160.0
82,118882,3.42,19.46,2985871.0
116,112397,3.64,17.79,2517755.0
7,112293,3.14,17.07,2425220.0
226,102898,5.0,31.51,4085823.0
152,96052,3.15,15.89,1983944.0
130,88128,6.04,28.48,3069129.0
33,81160,4.46,21.92,2305766.0
66,76110,4.58,23.94,2383928.0
129,73326,3.63,24.76,2270572.0
93,67018,9.24,49.75,4310389.0
146,65126,3.26,18.6,1591019.0
25,64434,4.06,20.46,1640331.0
260,63692,3.76,22.93,1866240.0
145,63075,5.11,37.68,3095888.0
12,57615,4.47,23.0,1790020.0
255,49505,3.81,20.32,1356049.0
181,49208,4.28,22.24,1339978.0
10,46105,12.83,56.57,3349178.0
134,43276,3.91,26.85,1452137.0
223,43019,4.69,28.77,1637864.0
61,42876,5.35,26.19,1206779.0
76,39693,7.46,33.0,1401608.0
216,38064,5.53,55.62,2621066.0
256,37021,4.05,22.35,1083869.0
80,32326,4.98,30.67,1233319.0
52,29598,3.85,19.49,759631.0
188,28651,5.66,27.33,836530.0
265,28116,5.86,51.05,1850846.0
92,27549,5.21,26.86,865156.0
39,27393,7.94,35.01,1020346.0
179,27305,3.51,18.76,632541.0
83,26440,3.63,22.67,759259.0
89,26257,6.35,29.58,835898.0
193,24667,3.79,20.22,616378.0
195,24443,9.17,45.11,1357881.0
35,23454,6.58,30.09,746416.0
196,22876,4.69,27.15,749090.0
215,22833,11.31,50.41,1416819.0
243,22752,5.17,23.48,633220.0
55,22734,9.95,41.57,1020811.0
112,22261,4.09,21.13,621137.0
197,22105,6.73,45.07,1188650.0
247,21869,5.8,28.24,736453.0
49,21768,4.8,23.63,583459.0
225,21562,5.63,26.89,622459.0
17,20520,4.74,23.95,539657.0
91,19587,6.8,30.86,640101.0
168,18967,5.25,24.4,531858.0
72,18955,6.03,28.9,576198.0
219,18651,12.42,54.1,1247987.0
157,18099,5.69,40.25,923491.0
210,18046,6.61,29.03,582828.0
71,17071,5.68,27.79,498976.0
69,16187,6.13,27.61,487473.0
37,16065,5.48,26.29,474704.0
