date,trips,avg_dist,avg_fare,avg_dur,revenue
2022-01-01,59643,3.8,14.04,12.7,1218199.0
2022-01-02,56022,4.34,15.45,13.4,1245342.0
2022-01-03,69832,3.77,13.84,12.5,1425448.0
2022-01-04,72011,3.43,13.09,12.5,1398603.0
2022-01-05,71941,3.28,12.68,12.5,1362135.0
2022-01-06,77160,3.03,12.16,12.2,1414378.0
2022-01-07,68450,2.98,11.71,11.3,1225707.0
2022-01-08,80002,3.13,12.25,11.9,1460944.0
2022-01-09,61386,3.65,13.36,11.9,1209727.0
2022-01-10,70815,3.08,12.29,12.3,1307572.0
2022-01-11,74560,2.81,11.67,12.1,1321267.0
2022-01-12,77296,2.83,11.83,12.5,1388098.0
2022-01-13,81792,2.92,12.15,13.0,1501397.0
2022-01-14,89875,2.98,12.28,13.1,1675484.0
2022-01-15,84416,2.97,11.94,11.8,1516969.0
2022-01-16,68836,3.29,12.59,11.9,1289930.0
2022-01-17,60852,3.71,13.59,12.1,1224908.0
2022-01-18,81298,3.02,12.42,13.1,1520870.0
2022-01-19,83207,2.82,11.96,13.0,1504417.0
2022-01-20,86971,2.8,11.78,12.6,1562649.0
2022-01-21,96098,2.73,11.76,13.0,1726367.0
2022-01-22,91849,2.83,11.73,12.2,1621434.0
2022-01-23,73031,3.42,13.02,12.3,1410089.0
2022-01-24,75154,3.02,12.28,12.7,1390388.0
2022-01-25,83789,2.77,11.82,12.8,1504967.0
2022-01-26,92643,2.67,11.71,13.1,1653003.0
2022-01-27,95446,2.8,12.49,14.5,1792782.0
2022-01-28,90407,2.86,12.8,15.2,1735107.0
2022-01-29,28965,2.4,10.48,11.8,472408.0
2022-01-30,65474,3.46,13.19,12.7,1277757.0
2022-01-31,81008,3.26,13.31,14.5,1603948.0
2022-02-01,87876,2.95,12.94,14.8,1695314.0
2022-02-02,87882,2.84,13.13,16.0,1714753.0
2022-02-03,98705,2.78,12.55,15.1,1863587.0
2022-02-04,103900,2.72,11.71,13.1,1861728.0
2022-02-05,109957,2.81,11.87,12.7,1958567.0
2022-02-06,83155,3.41,13.11,12.8,1617647.0
2022-02-07,84686,3.1,12.99,14.5,1646679.0
2022-02-08,98080,2.79,12.2,13.9,1811673.0
2022-02-09,101182,2.78,12.18,13.9,1868599.0
2022-02-10,107437,2.94,12.62,14.5,2048788.0
2022-02-11,111654,3.01,12.93,15.0,2173249.0
2022-02-12,113094,2.92,12.66,14.3,2119070.0
2022-02-13,86813,3.36,12.86,12.3,1662753.0
2022-02-14,103830,3.0,12.52,13.6,1960830.0
2022-02-15,104401,2.93,12.52,14.0,1970110.0
2022-02-16,105084,2.91,12.44,14.0,1976528.0
2022-02-17,107898,3.01,12.79,14.6,2080381.0
2022-02-18,109955,3.15,13.33,15.5,2197986.0
2022-02-19,108465,3.04,12.55,13.2,2025114.0
2022-02-20,89883,3.44,13.34,13.2,1769595.0
2022-02-21,82072,3.85,14.23,13.4,1722046.0
2022-02-22,96961,3.21,13.15,14.4,1912861.0
2022-02-23,107381,3.09,13.0,14.4,2095937.0
2022-02-24,114574,3.06,13.01,14.6,2236855.0
2022-02-25,112224,3.08,12.72,13.7,2158731.0
2022-02-26,116181,3.11,12.82,13.7,2206495.0
2022-02-27,94337,3.7,14.08,13.9,1947488.0
2022-02-28,97401,3.37,13.57,14.6,1971690.0
2022-03-01,108795,3.16,13.24,14.8,2156721.0
2022-03-02,114199,3.12,13.08,14.6,2245745.0
